Wavenumber,Y1-1,Y1-2,Y1-3,Y2-1,Y2-2,Y2-3,Y3-1,Y3-2,Y3-3,Y4-1,Y4-2,Y4-3,Y5-1,Y5-2,Y5-3,Y6-1,Y6-2,Y6-3,Y7-1,Y7-2,Y7-3,Y8-1,Y8-2,Y8-3,Y9-1,Y9-2,Y9-3,DJ2-1,DJ2-2,DJ2-3,DJ3-1,DJ3-2,DJ3-3,DJ4-1,DJ4-2,DJ4-3,DJ5-1,DJ5-2,DJ5-3,DJ7-1,DJ7-2,DJ7-3,DJ8-1,DJ8-2,DJ8-3,DJ11-1,DJ11-2,DJ11-3,DJ14-1,DJ14-2,DJ14-3,DJ16-1,DJ16-2,DJ16-3,DJ17-1,DJ17-2,DJ17-3,DJ17W-1,DJ17W-2,DJ17W-3,DJ18-1,DJ18-2,DJ18-3,DJ18W-1,DJ18W-2,DJ18W-3,DJ20-1,DJ20-2,DJ20-3,DJ21-1,DJ21-2,DJ21-3,DJ22-1,DJ22-2,DJ22-3,DJ24-1,DJ24-2,DJ24-3,DJ26-1,DJ26-2,DJ26-3
570.92954,89.08161,87.96848,89.90311,88.96791,87.7066,88.93686,90.20738,89.68517,89.98526,91.74002,89.08991,89.55708,93.55798,91.40951,92.76847,93.07353,93.75836,92.94947,93.12789,93.50716,94.09358,92.22052,92.59072,93.40082,94.25769,93.57744,93.67369,96.86687,97.87541,95.05437,96.05077,95.03952,93.52644,93.70781,95.57553,95.92254,95.00122,94.73799,96.20865,95.35495,96.06089,94.35431,94.32691,94.77828,95.22484,95.33132,94.93108,94.26548,91.80091,91.58173,91.73137,92.14388,90.02206,91.5452,95.62029,96.86247,96.20967,96.08025,96.94038,95.82646,93.89199,93.33591,94.58109,94.59202,95.41457,93.32646,92.22605,92.12613,93.9613,95.18674,94.50168,92.87479,94.31559,95.14205,95.63449,96.43053,95.24965,95.85418,93.91332,92.94797,92.5564
572.85835,91.36644,90.10076,90.03503,89.73796,89.33546,89.89699,91.97916,90.91925,90.67173,92.40521,89.56703,91.07944,94.25857,92.45923,93.44149,94.20784,94.77889,93.99122,94.4033,94.46243,94.34086,94.41085,93.74369,95.97922,95.61888,94.49815,94.10027,98.60371,99.25257,96.68759,96.47629,96.077,95.05876,96.00631,97.36975,97.05866,96.63979,96.15413,97.8545,96.82492,96.15284,96.06011,94.95192,95.64384,96.75817,95.99712,95.49745,95.63679,93.56801,93.20876,93.63973,93.21399,91.76187,93.00298,97.05743,97.90509,97.08301,97.17447,98.59272,97.89156,95.19434,95.28866,95.16681,95.89632,96.35476,95.2957,93.43022,94.26028,94.95825,97.09526,96.48061,95.42746,96.92841,96.75408,97.18149,97.01588,96.00345,97.65164,95.69809,94.37918,93.78018
574.78717,90.62307,90.4853,88.75538,88.84896,88.77619,90.06295,91.75139,90.39282,89.59501,91.32486,89.32104,91.72236,93.41768,92.62653,93.32408,93.21036,94.99401,94.19448,94.61746,95.20949,96.2837,95.11862,93.29323,97.80484,96.58747,94.97071,93.94489,98.47978,98.61178,97.5596,96.5928,96.81799,95.90622,96.34684,95.98514,96.48059,97.90984,97.0624,98.09125,97.21793,96.4921,96.266,94.6349,94.84084,97.61248,95.59982,94.72621,95.4132,93.77057,92.90007,94.17107,92.48801,91.97201,91.34356,97.34879,96.4788,97.60165,97.55223,98.75144,98.45667,96.151,95.39307,95.05385,96.14539,95.87349,96.46736,93.76904,93.95675,94.91473,97.40516,97.64401,95.87838,96.21095,95.79594,98.16126,96.90556,96.42106,97.26329,95.83606,95.06383,94.0995
576.71598,88.43182,88.6606,86.89477,87.55762,87.62698,88.65682,89.34438,89.70261,88.14185,89.85326,89.41981,90.12171,92.31124,91.65636,91.06162,91.33112,93.61504,92.74465,94.20577,94.56341,93.73789,93.20401,92.06828,94.28113,95.00612,94.57935,93.87202,96.21359,97.20004,95.9274,94.99898,97.02116,95.74848,95.01637,93.90791,94.67548,96.57073,96.74594,96.47911,95.23522,94.89029,94.4231,93.18041,93.96395,95.26726,93.90131,94.24577,93.73118,92.1736,91.58437,91.89594,90.91502,91.08177,90.17957,95.65293,95.3281,96.97614,96.93246,97.13763,97.34765,95.11604,94.10597,93.74419,95.25164,94.34268,96.57979,92.87093,91.79835,93.99079,95.65101,96.31702,94.88327,94.38825,94.24177,96.29398,95.84896,95.52353,95.19315,93.85532,94.61052,93.40003
578.6448,87.62789,87.12205,85.89979,88.48644,86.34253,87.73243,87.90841,89.51127,88.03829,90.00813,89.53866,89.10013,91.90355,90.4974,90.19589,92.95559,92.37325,91.57952,93.09919,93.81622,94.16528,92.29788,91.59795,93.56483,93.2002,93.48557,94.14548,94.88814,97.20141,94.88568,94.64524,96.60817,95.36301,93.94884,93.44563,94.41857,95.59019,96.18407,95.41869,93.95532,94.0692,93.75419,92.84812,93.82853,93.70244,92.98327,94.65168,92.68204,90.09142,91.77665,91.09969,91.16863,91.04528,90.83434,95.05494,95.19119,96.57506,95.66953,95.93197,95.80702,92.91769,92.87872,93.6696,94.63963,94.14664,96.15277,91.87738,91.0237,93.56902,93.77608,94.71428,95.36246,94.99183,94.30838,95.53745,95.46483,94.99661,94.61439,92.60897,93.00156,92.45038
580.57362,87.8945,85.7118,85.98722,88.47966,86.16895,87.47684,88.07376,89.08342,88.24219,89.89147,88.94906,88.65136,90.88669,88.91349,90.80101,92.48301,91.33128,91.92744,91.48533,92.78502,91.80946,91.63248,91.04031,94.68231,92.9215,92.7956,93.82862,93.75268,96.26015,94.29028,95.04358,95.56447,94.72699,93.12328,92.61289,94.86567,94.74431,95.19765,95.28868,93.64947,93.70244,93.45313,93.25631,93.69254,93.27901,93.11052,94.2194,92.24877,89.9896,90.79953,90.49221,90.80677,90.07918,90.93624,95.03162,95.82299,95.13839,94.44292,95.93939,95.68751,91.17557,92.35477,92.8054,93.19462,94.25508,94.70847,91.19272,90.98114,92.4189,93.29865,94.12496,95.62544,94.31588,95.26072,95.22116,94.66868,94.63885,94.70196,91.84017,92.28919,91.63363
582.50243,88.13409,85.92231,87.04276,88.89424,86.78648,87.24988,88.3832,88.48752,88.60564,89.62281,88.87067,88.99394,90.26126,89.34866,91.0594,91.04476,91.02866,91.72697,90.95983,92.12357,91.94102,91.51751,90.89559,94.01068,93.61934,92.62971,93.22304,93.78321,96.09634,94.93158,95.71722,95.41175,94.61357,92.92949,93.66071,95.69437,94.81267,95.15039,95.1933,94.00563,93.12624,92.58837,93.82495,93.68187,93.99379,93.41876,93.36173,92.77374,91.28311,89.94283,90.53889,90.7155,89.13759,90.56806,95.2248,96.29074,94.92251,94.30739,96.30831,95.85772,90.90018,92.46012,91.94877,92.83312,94.51149,93.31384,90.99794,91.51847,91.79157,94.21294,93.97078,95.09411,93.33351,95.80937,94.36479,94.6372,94.69245,93.85532,92.03174,92.13529,91.03207
584.43125,88.239,87.75431,88.12866,89.35448,86.57159,88.33436,89.45621,89.01319,88.62403,89.57245,88.82835,89.20497,91.34027,90.19906,91.59404,92.03194,92.10768,91.58678,91.96588,92.24147,93.52835,92.47482,91.00133,93.39349,94.09513,93.29528,92.67657,95.8103,96.63684,95.45143,95.77116,96.01508,94.99034,93.10114,94.61398,95.66791,94.99838,95.35054,95.42282,94.6682,93.22313,93.05259,94.16488,93.90854,94.4834,93.29425,92.72782,94.04216,91.83568,90.99433,90.91892,90.54691,88.59616,89.98655,96.16193,95.86823,94.84598,96.18226,96.62091,96.16255,92.42673,92.77588,92.3922,93.22012,94.83093,94.11643,92.0922,91.40788,92.47426,95.37326,93.80193,94.54817,93.80384,95.72145,94.09174,95.50305,95.24978,93.78244,92.06094,92.53108,91.21752
586.36006,88.3132,88.22808,88.32083,88.56295,86.61786,89.02626,89.23143,89.18662,88.47646,88.80728,88.46782,89.46235,91.70781,89.90632,91.609,92.01163,91.59913,91.43175,92.13359,91.8737,91.4047,92.5095,90.65479,93.04483,92.97105,93.2125,91.96374,96.02305,95.86512,95.7904,95.10848,94.86455,94.72332,93.37439,93.88613,94.24128,94.70374,94.35078,95.12308,94.36978,93.64101,93.39936,94.12717,93.80895,93.69528,92.22804,91.91587,93.65228,90.54295,90.76658,89.97907,89.93065,88.76833,90.08331,95.23928,95.47031,95.05526,96.58119,96.48556,96.56473,92.75156,91.99865,91.94441,93.03259,94.27805,94.20032,92.12881,90.80081,92.27954,95.35316,94.10729,94.10802,94.14555,94.8149,94.12529,94.85255,94.47301,93.67807,92.06981,92.44735,91.18299
588.28888,89.26104,88.87329,89.54099,89.04274,88.36358,90.02809,89.94197,89.80021,89.74728,89.80296,89.73862,89.95237,91.77385,90.83735,92.0403,92.46543,91.72865,92.62878,92.80383,92.65748,92.89595,92.78994,91.34266,93.34539,92.13792,93.01091,92.08502,95.81884,96.38842,96.36605,95.07754,95.04092,95.03155,94.28257,94.73932,94.65767,95.13715,94.7717,95.60762,94.84008,94.54172,93.31155,94.96041,93.93358,93.72159,92.37923,92.59593,92.65847,90.5129,90.89326,89.71905,90.63658,90.15271,90.6599,95.27009,95.99335,95.86869,97.05262,96.86763,97.22099,92.41041,92.07858,91.92275,93.55689,93.88571,93.88421,91.5085,91.62403,92.96616,95.15102,95.3592,94.79279,94.27377,94.90454,94.67386,95.37799,95.11347,94.08451,93.27833,92.62698,91.89528
