name,c_K2CO3,c_KHCO3,Total,Wavenumber,R1-1,R1-2,R1-3,R2-1,R2-2,R2-3,R3-1,R3-2,R3-3,R4-1,R4-2,R4-3,R5-1,R5-2,R5-3,R6-1,R6-2,R6-3,R7-1,R7-2,R7-3,R8-1,R8-2,R8-3,R9-1,R9-2,R9-3,R10-1,R10-2,R10-3,R11-1,R11-2,R11-3
,,,,1051.20472,92.07719,92.46437,92.1688,70.01138,70.23408,69.59798,52.24261,52.39312,52.29764,87.11055,86.59168,86.57103,70.82575,71.06956,70.77682,57.98328,57.85006,58.03916,52.11628,52.11984,52.24283,74.36211,74.10796,74.03926,70.63633,70.90553,70.69828,69.79069,69.7026,69.87517,83.6983,83.81373,83.59996
,,,,1053.13354,91.91584,92.41788,92.14705,70.04743,70.22828,69.6738,52.45477,52.60448,52.53904,86.04119,85.48602,85.52084,70.81399,70.99207,70.77736,58.90819,58.78324,58.8619,51.20107,51.24381,51.30024,73.01872,72.80857,72.79761,70.55004,70.76058,70.63737,70.64322,70.53505,70.6329,83.97366,84.12334,83.88452
,,,,1055.06235,91.91854,92.46969,92.30272,70.21774,70.49357,69.86716,52.70596,52.81075,52.72526,84.85105,84.41678,84.5012,70.99753,71.11026,70.92769,59.8491,59.71903,59.76964,50.33103,50.386,50.37302,71.70303,71.40392,71.37458,70.61789,70.90767,70.77884,71.7999,71.67218,71.81163,84.66769,84.7906,84.60317
,,,,1056.99117,92.09938,92.57511,92.44327,70.40367,70.67645,69.9831,52.63492,52.8194,52.57713,83.66334,83.27431,83.28176,71.11137,71.2046,70.96102,60.63455,60.60095,60.71668,49.39328,49.37706,49.30575,70.22708,70.01447,69.92175,70.75785,71.10047,70.96087,73.09194,72.99431,73.11915,85.59918,85.71673,85.5699
,,,,1058.91998,92.10088,92.55915,92.33931,70.17125,70.49914,69.82067,52.18277,52.27053,51.98661,82.44313,81.96403,81.93307,70.83515,71.01608,70.71721,61.09967,61.22683,61.27384,48.13725,48.08917,48.00909,68.5825,68.44302,68.31052,70.62702,71.00835,70.79419,74.13294,74.14589,74.19199,86.43376,86.49842,86.37328
,,,,1060.8488,91.89419,92.38471,92.01855,69.66342,69.97582,69.37772,51.47588,51.46622,51.23756,81.05453,80.4307,80.51591,70.36346,70.65229,70.23835,61.15202,61.28646,61.26069,46.67889,46.58107,46.53416,66.84288,66.67687,66.55493,70.15945,70.49816,70.32419,74.88497,74.79008,74.86937,87.00634,86.93291,86.74427
,,,,1062.77762,91.72488,92.2794,91.88107,69.05644,69.31648,68.65048,50.45424,50.51731,50.25663,79.51049,78.89075,79.103,69.66334,69.99777,69.57283,60.97215,61.03444,61.04459,45.2255,45.05997,44.98708,65.05547,64.9564,64.85935,69.58213,69.68117,69.70458,75.32483,75.2101,75.253,87.29453,87.32621,87.11412
,,,,1064.70643,91.50436,92.07802,91.73063,68.24294,68.44721,67.81508,49.33626,49.38956,49.09625,78.03656,77.5479,77.71623,68.71911,69.0518,68.68955,60.42777,60.68045,60.60152,43.69665,43.56509,43.52838,63.31072,63.28426,63.07652,68.71147,68.79855,68.8763,75.43588,75.40114,75.47376,87.4212,87.6076,87.48022
,,,,1066.63525,91.16603,91.74855,91.5181,67.27047,67.448,66.78451,48.15175,48.19386,47.8957,76.61125,76.1837,76.15706,67.71621,68.05053,67.55632,59.72914,59.92569,59.93473,42.32794,42.02965,42.20169,61.66559,61.53049,61.4323,67.65505,67.80642,67.75909,75.34641,75.28074,75.40597,87.60824,87.58982,87.66704
,,,,1068.56406,90.76206,91.36816,91.08405,66.11094,66.2986,65.70409,46.91697,47.01622,46.64453,75.0467,74.6957,74.59107,66.61819,66.95666,66.39382,59.00502,58.94533,59.10037,41.12259,40.67849,40.96375,59.98609,59.76187,59.76531,66.4596,66.69549,66.60216,75.00929,74.9642,75.05691,87.59789,87.44857,87.57455
,,,,1070.49288,90.40561,90.93367,90.62168,64.94729,65.11803,64.67557,45.81617,45.87165,45.49943,73.54054,73.19569,73.19062,65.36471,65.86654,65.31288,58.1256,58.05384,58.01145,39.9096,39.62236,39.79478,58.33616,58.15433,58.1014,65.27172,65.55066,65.4263,74.56528,74.58968,74.61121,87.36964,87.3027,87.3638
,,,,1072.4217,90.01947,90.45862,90.19171,63.80388,64.03301,63.51725,44.78144,44.80396,44.51299,72.1637,71.73914,71.87004,64.17292,64.64201,64.23902,57.06449,57.10391,56.98762,38.92351,38.83089,38.81693,56.77981,56.66885,56.62522,64.14143,64.39933,64.23022,74.06707,74.14243,73.99597,87.07821,87.07038,87.06685
,,,,1074.35051,89.42144,89.88925,89.58983,62.62823,62.84171,62.31421,43.77336,43.80545,43.64024,70.83369,70.41394,70.5714,63.09714,63.42552,63.07412,56.00135,55.98869,55.99683,38.12677,38.05859,38.01033,55.39669,55.27489,55.29904,62.90324,63.2771,63.06558,73.28382,73.3736,73.30037,86.60189,86.70271,86.5431
,,,,1076.27933,88.93904,89.37888,89.0388,61.55122,61.897,61.31022,43.05755,43.04052,42.95548,69.69407,69.27064,69.51553,62.07285,62.40504,61.97001,55.09343,55.03716,55.14404,37.62827,37.41863,37.47284,54.39178,54.12392,54.18584,61.72702,62.26724,62.0672,72.51789,72.54099,72.64529,86.25705,86.29166,86.10065
,,,,1078.20814,88.43311,88.87921,88.58833,60.71219,61.14354,60.42514,42.53273,42.46313,42.40017,68.72874,68.21142,68.51482,61.18939,61.48379,61.05056,54.38987,54.35473,54.45482,37.41611,37.0551,37.24201,53.50803,53.2491,53.30765,60.86348,61.35684,61.2012,71.94738,71.87489,72.03673,85.99694,85.97769,85.79129
,,,,1080.13696,87.82769,88.43857,88.12729,60.01968,60.29427,59.69789,42.21349,42.16816,42.02961,67.8238,67.37955,67.53079,60.48448,60.68149,60.31558,53.76885,53.79256,53.83326,37.27069,36.97824,37.19269,52.8713,52.69227,52.67683,60.16447,60.55621,60.46156,71.38212,71.41003,71.45476,85.58224,85.67533,85.46689
,,,,1082.06578,87.40624,87.97929,87.65308,59.38758,59.50244,59.15602,41.97383,41.95312,41.73783,67.00522,66.71968,66.72528,59.90547,60.02686,59.72122,53.16658,53.17239,53.19339,37.07866,37.12323,37.14254,52.4484,52.28923,52.14268,59.52395,59.81817,59.82911,70.90557,71.03723,70.97546,85.23323,85.32317,85.11273
,,,,1083.99459,87.10053,87.5361,87.29381,58.89882,59.033,58.70832,41.83186,41.81497,41.66729,66.43902,66.18972,66.22576,59.46092,59.52691,59.22688,52.7398,52.64335,52.74474,37.22403,37.30733,37.35742,52.12228,52.00064,51.81428,59.09042,59.35972,59.32205,70.42163,70.50917,70.51422,84.95642,84.96338,84.87576
,,,,1085.92341,86.64858,87.14104,86.83175,58.51093,58.61288,58.24513,41.8266,41.80358,41.6951,65.93143,65.60115,65.77697,59.09249,59.04285,58.81361,52.36162,52.21136,52.34025,37.61239,37.6432,37.73045,51.92274,51.79682,51.7267,58.68048,58.90779,58.88569,69.81023,69.86157,69.90754,84.58507,84.51552,84.52693
,,,,1087.85222,86.27726,86.90466,86.40293,58.27835,58.31057,57.94353,42.02303,41.97451,41.87203,65.57688,65.18897,65.46378,58.80773,58.82548,58.53217,52.03989,51.96733,52.06377,38.02705,38.10282,38.02955,51.98159,51.79695,51.80145,58.37078,58.61581,58.5481,69.3065,69.3372,69.45545,84.25188,84.20818,84.16107
,,,,1089.78104,86.10514,86.70876,86.18278,58.22505,58.30554,57.89099,42.37021,42.35698,42.17849,65.44393,65.09076,65.4018,58.63473,58.76181,58.48819,52.03064,51.97144,51.93664,38.66638,38.68454,38.56022,52.2918,51.9714,52.00645,58.34856,58.57577,58.45816,69.02824,69.09091,69.3114,84.14818,84.13095,83.97913
,,,,1091.70986,85.92431,86.43522,86.06992,58.18489,58.44116,57.99458,42.7693,42.81235,42.55755,65.53901,65.16902,65.41873,58.68716,58.73019,58.61544,52.06988,52.05455,51.96894,39.41793,39.34675,39.3044,52.68537,52.27081,52.30663,58.40764,58.60948,58.51109,68.86831,68.88156,69.05575,83.9436,83.91743,83.79642
,,,,1093.63867,85.72321,86.21297,85.89282,58.19551,58.54345,58.05433,43.14997,43.25083,42.98031,65.72899,65.24372,65.46194,58.84156,58.81748,58.72787,52.05174,52.06974,52.0897,40.14966,40.11256,40.01852,53.11129,52.68906,52.80397,58.49168,58.71427,58.59949,68.72723,68.6764,68.76392,83.72081,83.59298,83.6035
,,,,1095.56749,85.68822,86.06332,85.71605,58.43557,58.71134,58.25281,43.67692,43.73654,43.55318,65.93697,65.45827,65.67098,59.0682,59.07319,58.85057,52.23908,52.18561,52.2314,40.9819,40.97275,40.78042,53.65836,53.31939,53.38556,58.64472,58.8888,58.81488,68.58338,68.61705,68.66746,83.62372,83.38673,83.52572
,,,,1097.4963,85.59218,85.96697,85.52934,58.74458,58.89699,58.53958,44.25381,44.24647,44.14397,66.18622,65.77657,65.91668,59.33596,59.28511,59.08331,52.50085,52.35418,52.40244,41.84903,41.78578,41.59434,54.2415,54.00007,54.02105,58.88489,59.10458,59.0413,68.41032,68.52409,68.44078,83.49334,83.29293,83.35869
,,,,1099.42512,85.49228,85.9677,85.40428,59.17907,59.14704,58.86379,44.95045,44.95084,44.74997,66.58589,66.24498,66.34921,59.64511,59.66532,59.41434,52.77095,52.63796,52.65216,42.761,42.67974,42.54541,54.86909,54.65333,54.74746,59.1477,59.41126,59.28614,68.29406,68.44895,68.33114,83.4078,83.23147,83.24799
,,,,1101.35394,85.55598,85.93595,85.41942,59.65039,59.63953,59.27685,45.77361,45.78781,45.52183,67.11066,66.83696,66.88524,60.07942,60.14309,59.87129,53.15112,53.0116,53.06482,43.83842,43.76182,43.69921,55.74146,55.50946,55.57423,59.6042,59.96294,59.75701,68.30324,68.45504,68.35836,83.3742,83.20132,83.22483
,,,,1103.28275,85.66307,85.96851,85.61217,60.15864,60.36457,59.90914,46.6502,46.68541,46.48947,67.73761,67.47833,67.54405,60.68623,60.74814,60.48279,53.68367,53.48351,53.64152,45.0865,44.98181,44.97932,56.758,56.50368,56.48617,60.20277,60.59221,60.40994,68.44968,68.6196,68.45021,83.37928,83.29142,83.2042
,,,,1105.21157,85.73933,86.05731,85.82998,60.84174,61.06898,60.61365,47.5488,47.63605,47.4867,68.49268,68.19074,68.19315,61.35893,61.47816,61.19131,54.22833,54.07565,54.22223,46.32219,46.27895,46.12819,57.80805,57.55079,57.60686,60.88336,61.23385,61.1537,68.62946,68.85856,68.70777,83.4003,83.303,83.19413
,,,,1107.14038,86.01986,86.33634,86.09212,61.73142,61.83318,61.42286,48.67805,48.75888,48.53594,69.39142,69.11847,69.08763,62.19445,62.2597,62.00533,54.8689,54.78371,54.92863,47.69855,47.61989,47.42821,58.97569,58.75354,58.87499,61.69946,62.06674,62.05401,68.99119,69.16526,69.07179,83.55889,83.46723,83.3739
,,,,1109.0692,86.24418,86.52885,86.29489,62.55037,62.58779,62.24064,49.83239,49.84329,49.65156,70.26655,70.00026,70.04483,62.98035,62.98806,62.75279,55.5897,55.51818,55.60761,49.02481,48.94246,48.82886,60.15869,59.91897,59.97162,62.55207,62.89159,62.85754,69.41197,69.46265,69.36359,83.71187,83.6342,83.49716
,,,,1110.99802,86.48492,86.79289,86.52533,63.37373,63.45919,63.1503,50.95613,50.96611,50.85806,71.17345,70.99146,71.07431,63.71838,63.81144,63.64164,56.38783,56.32428,56.33671,50.41002,50.32921,50.21967,61.41243,61.15369,61.12665,63.51676,63.69875,63.60494,69.74162,69.83622,69.75135,83.80222,83.81631,83.68286
,,,,1112.92683,86.88959,87.1789,86.88626,64.31688,64.46434,64.15787,52.1377,52.18493,52.01672,72.19165,72.08333,72.12016,64.64346,64.74051,64.67799,57.25477,57.21816,57.19643,51.90169,51.84194,51.66838,62.7542,62.51514,62.49352,64.5702,64.6469,64.5877,70.12239,70.28897,70.24784,84.0388,84.06063,83.9979
,,,,1114.85565,87.37761,87.61866,87.36909,65.39205,65.53635,65.28803,53.45643,53.50109,53.16975,73.38374,73.21591,73.24195,65.8008,65.7879,65.77109,58.14989,58.15126,58.16175,53.3975,53.41597,53.27423,64.14522,63.94026,63.96653,65.5932,65.75186,65.73825,70.67852,70.83002,70.77481,84.41927,84.35278,84.34431
,,,,1116.78446,87.72959,88.01736,87.77929,66.39733,66.58262,66.36503,54.74808,54.77409,54.38519,74.55074,74.27181,74.40401,66.84033,66.8267,66.84254,59.01273,59.05095,59.0796,54.90063,54.92232,54.75756,65.53945,65.35139,65.39357,66.57418,66.79165,66.79572,71.15472,71.2956,71.28318,84.66545,84.61211,84.54592
,,,,1118.71328,88.16053,88.51346,88.23919,67.48021,67.71239,67.44727,56.06522,56.04744,55.71888,75.72661,75.43357,75.58667,67.88886,67.94811,67.9647,59.9628,59.96144,60.03097,56.44541,56.4878,56.2479,66.96374,66.81447,66.84558,67.66545,67.85679,67.81188,71.73546,71.79686,71.83662,84.99789,84.84253,84.79981
,,,,1120.6421,88.60264,88.99791,88.72883,68.65856,68.72084,68.44677,57.35432,57.33116,57.01551,76.84829,76.66138,76.63798,68.99986,69.0246,69.03718,60.92176,60.89031,60.99347,57.97423,58.04044,57.82177,68.44051,68.29279,68.30768,68.71782,68.90421,68.83798,72.34616,72.38275,72.35702,85.32919,85.16081,85.07469
,,,,1122.57091,88.99882,89.4287,89.14178,69.72657,69.72391,69.4853,58.59475,58.53319,58.35726,77.94915,77.81993,77.72317,70.04872,70.03865,70.01416,61.84387,61.89789,61.90648,59.51619,59.56211,59.34808,69.91196,69.68286,69.70942,69.73104,69.89816,69.93389,72.88177,72.91013,72.85978,85.56914,85.52511,85.30848
,,,,1124.49973,89.40652,89.77049,89.45963,70.65618,70.86492,70.58267,59.80046,59.72444,59.59221,79.12753,78.9008,78.90491,71.05609,71.05859,70.98122,62.76185,62.76472,62.81464,61.00218,61.0065,60.85801,71.32181,71.07518,71.07989,70.83765,70.94054,71.02735,73.38605,73.44327,73.37835,85.82613,85.80084,85.61795
,,,,1126.42854,89.94775,90.19294,89.9146,71.74476,71.97787,71.67365,61.10201,61.02277,60.8251,80.27813,80.11536,80.14002,72.11121,72.14402,72.05468,63.7016,63.61591,63.74295,62.54568,62.4413,62.34711,72.73346,72.55782,72.4995,71.92378,72.02413,72.07129,73.9278,74.08589,73.99171,86.09099,86.0693,85.97065
,,,,1128.35736,90.48739,90.73135,90.41534,72.89546,73.00882,72.6752,62.31988,62.25186,62.03503,81.38322,81.32491,81.3815,73.05639,73.24229,73.10813,64.63745,64.54507,64.64242,64.04182,63.91834,63.86544,74.13112,73.94598,73.88883,72.94414,73.10034,73.09289,74.46039,74.58083,74.54993,86.40478,86.37047,86.25081
,,,,1130.28618,91.00361,91.22194,90.95948,74.0318,74.10082,73.77485,63.51255,63.51369,63.29081,82.64373,82.59029,82.63292,74.17239,74.39758,74.18212,65.57741,65.5236,65.5947,65.54728,65.44584,65.42631,75.57261,75.35918,75.42426,74.0101,74.24233,74.12402,75.03736,75.0696,75.05393,86.80531,86.72124,86.51966
,,,,1132.21499,91.41277,91.64477,91.40889,75.07749,75.19058,74.87553,64.69237,64.7389,64.52715,83.86142,83.75452,83.78695,75.31828,75.4665,75.2721,66.42547,66.43267,66.45219,67.00611,66.93409,66.92068,77.01575,76.75059,76.92235,75.10082,75.33382,75.12566,75.59789,75.69183,75.62339,87.13054,87.0349,86.82426
,,,,1134.14381,91.87271,92.10462,91.74481,76.06932,76.16863,75.90268,65.86524,65.91502,65.6651,84.96447,84.8589,84.88426,76.33367,76.43928,76.26965,67.21666,67.27281,67.28055,68.36188,68.3435,68.28479,78.36548,78.05298,78.22086,76.09185,76.33444,76.23234,76.09229,76.22591,76.13949,87.32159,87.23073,87.0986
,,,,1136.07262,92.31644,92.57855,92.19686,77.07366,77.06157,76.8925,67.02091,66.98393,66.79176,86.07792,85.95126,86.01461,77.31949,77.41751,77.22925,68.0207,67.99742,68.0875,69.72443,69.67896,69.55852,79.68399,79.38071,79.50252,77.02987,77.28687,77.22911,76.52489,76.65641,76.6151,87.54092,87.37538,87.3467
,,,,1138.00144,92.74027,93.02088,92.74086,78.08289,78.01748,77.88039,68.16217,68.0181,67.89245,87.19028,87.06613,87.15407,78.30523,78.38011,78.22617,68.82859,68.73279,68.90369,71.08596,71.05359,70.89581,80.97408,80.73454,80.8231,77.96561,78.21813,78.1632,77.0236,77.09619,77.11055,87.82037,87.61147,87.56439
,,,,1139.93026,93.1595,93.47123,93.17599,79.06109,79.02782,78.81707,69.24485,69.14742,68.98182,88.30788,88.16268,88.19845,79.27396,79.32449,79.16211,69.5924,69.47597,69.64073,72.39373,72.40915,72.29142,82.21979,82.08916,82.10076,78.97672,79.09737,79.12933,77.50074,77.51646,77.48908,88.03783,87.9472,87.80092
,,,,1141.85907,93.59936,93.84977,93.57809,79.9494,80.01941,79.76525,70.23544,70.24642,70.0486,89.36805,89.2645,89.26853,80.21619,80.24046,80.06127,70.3432,70.12759,70.30974,73.64815,73.71212,73.6009,83.44915,83.3875,83.35458,79.95226,79.9994,80.03885,77.91758,77.91699,77.88318,88.25898,88.21945,88.07964
,,,,1143.78789,93.96158,94.19426,93.9241,80.70438,80.82447,80.5752,71.15433,71.13908,70.96691,90.29594,90.16957,90.26152,80.99353,81.0312,80.89417,70.94246,70.74333,70.94314,74.81355,74.90866,74.73569,84.70219,84.54499,84.52139,80.71707,80.80015,80.84371,78.21743,78.23947,78.26251,88.41619,88.32239,88.31184
,,,,1145.7167,94.27185,94.58978,94.27159,81.44894,81.57563,81.32175,72.05564,72.02597,71.82103,91.28743,91.1075,91.15702,81.74468,81.82141,81.68632,71.44867,71.34689,71.52991,76.02098,76.0389,75.83924,85.86642,85.66358,85.60637,81.41893,81.58999,81.56139,78.51701,78.54184,78.57011,88.52851,88.45513,88.48792
,,,,1147.64552,94.67854,94.99254,94.68539,82.2802,82.34017,82.07644,72.89021,72.89354,72.67927,92.26584,92.08451,92.08281,82.50139,82.63355,82.45124,72.00763,71.97035,72.08798,77.22106,77.15152,76.98108,86.97836,86.80103,86.76729,82.20946,82.41302,82.33128,78.86661,78.87619,78.90613,88.7625,88.6655,88.61757
,,,,1149.57434,95.11449,95.37704,95.09644,83.00909,83.06868,82.79607,73.68527,73.66796,73.44325,93.11799,93.0476,92.96989,83.20797,83.37067,83.198,72.53633,72.50157,72.61454,78.35821,78.23728,78.07102,88.0814,87.84883,87.91099,82.942,83.1174,83.09036,79.14444,79.15543,79.20519,88.93253,88.85799,88.74174
,,,,1151.50315,95.34788,95.59211,95.30046,83.48907,83.59211,83.34705,74.3038,74.22896,74.05964,93.81234,93.7833,93.7099,83.79654,83.88891,83.75742,72.88921,72.82186,72.9418,79.21413,79.13614,78.97257,88.94783,88.72805,88.80345,83.4579,83.65995,83.65982,79.24655,79.29295,79.35085,88.9713,88.91299,88.82601
,,,,1153.43197,95.50253,95.73588,95.42986,83.95545,84.06731,83.81731,74.84701,74.73404,74.60337,94.47495,94.43361,94.42824,84.32861,84.33653,84.23805,73.1139,73.06955,73.14071,80.00213,79.92847,79.75335,89.7637,89.58148,89.63308,83.93258,84.14811,84.14131,79.30505,79.34802,79.39071,89.03248,88.94144,88.83519
,,,,1155.36078,95.66158,95.8792,95.54413,84.35873,84.44923,84.16457,75.24418,75.16511,74.98488,95.05621,94.97924,95.01687,84.76665,84.74952,84.65945,73.25696,73.28378,73.32435,80.68181,80.65482,80.535,90.56167,90.38506,90.39021,84.33971,84.55774,84.53127,79.28291,79.35627,79.35336,89.04473,88.94589,88.84264
,,,,1157.2896,95.86894,96.01144,95.7089,84.70185,84.71304,84.49394,75.52245,75.51901,75.31279,95.63169,95.52634,95.56264,85.11625,85.1012,85.02193,73.34518,73.4194,73.4821,81.3453,81.33985,81.25232,91.28129,91.12391,91.13085,84.71524,84.94015,84.86321,79.20594,79.32627,79.28931,88.9908,88.97777,88.85117
,,,,1159.21842,96.02294,96.10999,95.83362,84.99383,84.96666,84.78021,75.78841,75.75386,75.55209,96.14267,96.10476,96.06854,85.3502,85.37694,85.26752,73.38148,73.44374,73.52517,81.94675,81.95253,81.79406,91.92635,91.77751,91.80606,85.07844,85.2749,85.15386,79.13123,79.22958,79.19987,88.95716,88.88607,88.8027
,,,,1161.14723,96.1368,96.20877,95.91305,85.17488,85.15706,84.99687,75.97173,75.89198,75.72327,96.59036,96.62194,96.58439,85.55629,85.63262,85.50213,73.39577,73.37569,73.5254,82.47253,82.45673,82.2557,92.52514,92.32625,92.3998,85.31032,85.47022,85.38058,79.03848,79.12356,79.03387,88.91005,88.72721,88.71613
,,,,1163.07605,96.10445,96.24838,95.93604,85.20282,85.18044,85.05198,75.96368,75.93376,75.82794,96.96353,96.97502,97.00217,85.68097,85.7498,85.63969,73.29686,73.23305,73.42043,82.82716,82.80262,82.64924,92.9935,92.8113,92.86025,85.40355,85.60754,85.49036,78.77989,78.88978,78.81049,88.74087,88.56388,88.53509
,,,,1165.00486,96.02479,96.20046,95.94043,85.15419,85.18472,84.93424,75.89774,75.88743,75.85421,97.25611,97.30178,97.32133,85.66221,85.74143,85.68328,73.12306,73.04678,73.15674,83.08354,83.06444,82.92382,93.36344,93.19552,93.25336,85.45168,85.63768,85.49423,78.42721,78.57295,78.49264,88.51929,88.39098,88.29634
,,,,1166.93368,95.98203,96.08809,95.94002,85.03204,85.11801,84.83975,75.72419,75.74456,75.73387,97.50768,97.55991,97.58552,85.59235,85.70707,85.60021,72.8277,72.81165,72.84647,83.28639,83.23002,83.0926,93.73719,93.55742,93.57689,85.41957,85.57825,85.41319,78.07702,78.22819,78.14341,88.24239,88.21333,88.10128
,,,,1168.8625,95.94977,96.06087,95.89728,84.90032,84.959,84.73876,75.52314,75.57471,75.48726,97.75887,97.77027,97.80266,85.48825,85.67768,85.48175,72.50117,72.53119,72.55778,83.41726,83.32835,83.20651,94.02529,93.87923,93.83519,85.3818,85.49186,85.33656,77.67447,77.80271,77.7485,87.9513,87.93915,87.82842
,,,,1170.79131,95.96388,96.04801,95.80719,84.80154,84.79873,84.64971,75.32677,75.37365,75.30202,97.98542,98.06247,98.04534,85.37528,85.59895,85.42959,72.16712,72.21092,72.24498,83.46239,83.41357,83.27802,94.28715,94.13103,94.13021,85.29985,85.39652,85.25157,77.25483,77.43026,77.35536,87.74069,87.67014,87.52279
,,,,1172.72013,95.92343,96.0022,95.7227,84.64334,84.6479,84.49907,75.09962,75.18542,75.11991,98.27308,98.33575,98.27286,85.29137,85.45006,85.37691,71.89039,71.93689,71.95028,83.49555,83.49628,83.36447,94.55563,94.32017,94.36252,85.14722,85.25614,85.12688,76.90129,77.11738,77.00602,87.50618,87.40871,87.24001
,,,,1174.64894,95.82068,95.91079,95.60441,84.42826,84.45746,84.24621,74.86077,74.9833,74.85439,98.49073,98.52002,98.40575,85.11115,85.26262,85.24074,71.61382,71.61416,71.70039,83.51009,83.49474,83.37787,94.69897,94.47839,94.48628,84.95779,85.07208,84.97681,76.54178,76.72144,76.6347,87.19011,87.1111,86.95674
,,,,1176.57776,95.73436,95.83743,95.50965,84.23096,84.30015,84.0222,74.71759,74.79122,74.67406,98.60534,98.68258,98.58354,84.92123,85.10147,85.11196,71.35013,71.3742,71.44123,83.50188,83.46685,83.33056,94.81942,94.65812,94.61972,84.82452,84.89153,84.81404,76.20126,76.34447,76.2843,86.91421,86.85085,86.70543
,,,,1178.50658,95.62813,95.7217,95.45221,84.05555,84.07899,83.84857,74.57801,74.58779,74.52618,98.69366,98.786,98.72573,84.7342,84.88271,84.88886,71.1204,71.14488,71.20646,83.45495,83.41518,83.26931,94.91624,94.76249,94.78615,84.67345,84.70334,84.63139,75.88188,76.04331,75.93819,86.66316,86.57961,86.44604
,,,,1180.43539,95.56741,95.58284,95.33666,83.90059,83.85269,83.69708,74.46083,74.46569,74.37979,98.82355,98.89874,98.85091,84.58628,84.69175,84.67811,70.99754,70.96275,71.05957,83.42818,83.33323,83.2327,95.03561,94.87149,94.90433,84.4646,84.53753,84.47919,75.62107,75.81994,75.64225,86.42653,86.29178,86.21079
,,,,1182.36421,95.47293,95.49366,95.21661,83.76433,83.71503,83.54055,74.382,74.4188,74.27908,98.91339,98.99456,98.97133,84.46082,84.58281,84.56105,70.96144,70.90916,71.00182,83.42187,83.32334,83.22584,95.16371,94.98148,94.97428,84.3344,84.45981,84.3659,75.41858,75.65336,75.47244,86.1988,86.04535,85.97953
,,,,1184.29302,95.36262,95.41398,95.14284,83.69295,83.72066,83.42341,74.39939,74.38445,74.30389,98.97734,99.10713,99.07829,84.39566,84.5246,84.51696,70.97675,70.92816,71.04621,83.40862,83.3831,83.23545,95.26932,95.08291,95.06155,84.27495,84.38826,84.30736,75.32376,75.54069,75.4054,86.00737,85.88759,85.75473
,,,,1186.22184,95.36462,95.3456,95.09553,83.65618,83.7756,83.41565,74.47692,74.48388,74.41239,99.11074,99.193,99.16462,84.38669,84.50768,84.48688,71.06509,71.01523,71.13887,83.47274,83.45798,83.27548,95.32296,95.15585,95.09353,84.25085,84.36461,84.21546,75.34099,75.48721,75.33914,85.88103,85.79527,85.66666
,,,,1188.15066,95.33612,95.34776,95.04561,83.72254,83.7567,83.47321,74.64818,74.69203,74.61457,99.2298,99.25014,99.19577,84.41156,84.51637,84.51283,71.2789,71.24582,71.26563,83.62186,83.53846,83.40027,95.34462,95.18233,95.15743,84.31427,84.37457,84.21754,75.39297,75.56054,75.40976,85.81836,85.70948,85.62741
,,,,1190.07947,95.33403,95.42466,95.0734,83.83768,83.80316,83.5968,74.94784,74.92782,74.9027,99.33748,99.34228,99.27077,84.49123,84.59065,84.62367,71.5531,71.57442,71.54596,83.81172,83.71054,83.57029,95.47348,95.30256,95.28405,84.40929,84.4964,84.35177,75.52591,75.79162,75.64755,85.82768,85.68791,85.5939
,,,,1192.00829,95.34613,95.44505,95.16016,84.00409,84.00689,83.81071,75.33863,75.23709,75.23908,99.47368,99.49511,99.40941,84.67188,84.76648,84.7602,71.93885,71.94914,71.96937,84.04631,83.93038,83.80272,95.65501,95.45528,95.41972,84.51806,84.68794,84.50553,75.7476,76.07913,75.93266,85.91885,85.75298,85.66724
,,,,1193.9371,95.35392,95.41764,95.11617,84.1738,84.21053,83.96975,75.70335,75.63519,75.55802,99.51413,99.56029,99.43928,84.82581,84.92988,84.89098,72.3635,72.33375,72.37943,84.22859,84.16686,84.01177,95.72604,95.5411,95.51776,84.66084,84.81502,84.64797,76.03135,76.30308,76.17996,86.00199,85.8386,85.73389
,,,,1195.86592,95.41505,95.46012,95.0973,84.37692,84.42088,84.16669,76.08441,76.06806,75.99603,99.52789,99.61431,99.52903,85.0292,85.13848,85.08573,72.86094,72.80062,72.83985,84.48292,84.46283,84.23574,95.81731,95.62493,95.65055,84.8764,84.96964,84.89796,76.40975,76.58615,76.47001,86.11008,86.00634,85.82907
,,,,1197.79474,95.45819,95.52189,95.21158,84.6446,84.67246,84.43669,76.51662,76.52308,76.51457,99.56905,99.67449,99.63902,85.2455,85.39388,85.32647,73.37895,73.29321,73.34435,84.83088,84.71498,84.54842,95.92597,95.65767,95.74745,85.10442,85.18358,85.14221,76.8086,77.0047,76.85907,86.24484,86.17569,85.97983
,,,,1199.72355,95.52771,95.59245,95.33081,85.00377,84.98382,84.75569,77.07826,77.09502,77.03412,99.65494,99.71862,99.71862,85.52655,85.69109,85.6415,73.9189,73.87802,73.91081,85.18042,84.99774,84.90095,96.03278,95.78696,95.83616,85.40899,85.49922,85.36289,77.24378,77.50335,77.31198,86.48386,86.36743,86.21352
