name,c_K2CO3,c_KHCO3,Total,Wavenumber,R1-1,R1-2,R1-3,R2-1,R2-2,R2-3,R3-1,R3-2,R3-3,R4-1,R4-2,R4-3,R5-1,R5-2,R5-3,R6-1,R6-2,R6-3,R7-1,R7-2,R7-3,R8-1,R8-2,R8-3,R9-1,R9-2,R9-3,R10-1,R10-2,R10-3,R11-1,R11-2,R11-3
,,,,663.5127,102.9109,103.54994,103.36542,107.76792,107.83823,107.83042,111.78625,111.74724,111.15577,105.00374,105.04145,105.12142,105.32237,105.53589,105.67204,106.77111,106.54218,106.48431,108.31582,108.26421,108.23799,104.08949,104.34617,103.85693,102.6625,104.22511,104.77837,103.47083,102.62729,103.61867,101.49281,101.15535,101.22273
,,,,665.44152,103.26489,103.89318,103.65745,108.22587,107.81105,108.02899,112.08222,112.17158,111.55161,105.37135,105.41757,105.44195,105.80764,105.62784,105.9683,106.90167,106.91643,106.25178,108.48677,108.41896,108.45875,104.31291,104.4392,104.01403,102.66274,104.16064,104.84195,103.62706,102.86443,103.58725,101.3538,101.1569,101.38827
,,,,667.37034,105.24522,106.38016,106.76356,111.88941,110.89009,111.42359,115.66945,115.58823,115.77806,109.20637,108.91929,109.62744,108.91606,108.82266,109.64935,109.53362,110.06749,108.20482,111.25547,110.82937,110.81978,105.27,106.59219,105.03463,101.23006,104.7327,106.53862,104.0314,102.16009,104.48803,101.78913,101.68986,102.25166
,,,,669.29915,105.20668,106.81025,107.50503,112.22069,111.56409,111.92684,115.90443,116.06762,116.30244,110.16925,110.29269,110.64036,109.46005,109.6542,110.40571,110.00453,110.36456,108.86119,111.42149,111.23675,110.89708,105.02423,107.27567,105.05589,100.28619,104.86053,106.776,103.27829,100.99924,104.45437,101.55357,101.77566,102.42589
,,,,671.22797,103.54457,104.40006,104.84831,108.83108,108.45635,108.54658,112.48267,112.77843,112.11623,106.62847,106.64324,106.69066,106.49675,106.67004,106.67762,107.38323,107.25721,106.76368,108.75221,108.6269,108.58403,104.05667,105.13089,104.03836,101.41194,104.20967,105.26207,102.79298,101.86932,103.54465,101.20613,101.1506,101.61902
,,,,673.15678,103.31746,104.24916,104.45447,108.3716,108.08796,108.01702,112.1311,112.09304,111.22046,106.01131,105.95191,106.03322,106.03138,106.0747,106.15855,106.89759,106.69725,106.31243,108.37922,108.17881,108.29888,104.09017,104.74045,104.09411,102.20315,104.37419,105.12491,102.96606,102.26765,103.58528,101.3267,101.24249,101.60527
,,,,675.0856,103.40669,104.62858,104.70467,108.56961,108.29074,108.43027,112.17801,112.05685,111.32353,106.35098,106.47388,106.37844,106.37582,106.31889,106.52308,107.08932,106.84845,106.29271,108.43364,108.3534,108.33137,104.23844,104.89228,104.24589,102.27451,104.54591,105.1203,103.12799,102.26062,103.74922,101.29408,101.53431,101.7873
,,,,677.01442,103.35958,104.60274,104.78763,108.47006,107.99545,108.14778,111.71342,111.52806,111.12217,106.59944,106.4942,106.24172,106.32726,106.17511,106.25731,106.89398,106.66725,106.10777,108.182,108.31822,107.89471,104.0148,104.79128,103.86667,101.73763,104.20336,104.82267,102.97007,101.84404,103.38407,100.91228,101.36038,101.45564
,,,,678.94323,103.27102,104.2998,104.58968,108.02051,107.73953,107.66195,111.30348,110.90123,110.65702,106.21319,106.15242,106.03879,105.86453,105.89955,105.88776,106.4279,106.28793,105.83838,107.74047,107.95447,107.51563,103.67911,104.4709,103.47563,101.48165,103.73084,104.46211,102.60175,101.31125,102.85669,100.69487,101.32019,101.00115
,,,,680.87205,103.1752,104.11908,104.23058,107.67314,107.82115,107.47342,111.07715,110.78546,110.25543,105.7442,105.80822,105.91277,105.71687,105.56583,105.77923,106.06976,106.17186,105.62213,107.37528,107.79667,107.2558,103.5394,104.27865,103.48347,101.51357,103.58657,104.4149,102.43865,101.00906,102.70557,100.44951,100.9865,100.74965
,,,,682.80086,103.02502,103.82175,104.04511,107.50723,107.61121,107.26942,110.7577,110.53553,109.98812,105.7278,105.77875,105.69937,105.65466,105.31334,105.53374,105.71029,105.94559,105.19961,107.21037,107.69118,107.0013,103.44949,104.08118,103.3499,101.41046,103.48768,104.40017,102.40188,100.9344,102.55059,100.33864,100.53275,100.62903
,,,,684.72968,102.98031,103.68629,104.01729,107.31654,107.22943,107.08882,110.4124,110.22518,109.66927,105.707,105.6484,105.60407,105.46467,105.24689,105.30958,105.52831,105.53205,104.96409,107.01051,107.27472,107.04537,103.40007,103.92892,103.18093,101.32644,103.2978,104.31747,102.30999,101.00919,102.35819,100.43621,100.5398,100.76886
,,,,686.6585,103.04419,103.82615,103.96691,106.97456,106.96982,107.05143,110.24533,109.90907,109.54708,105.58441,105.49473,105.54794,105.33621,105.30602,105.3028,105.35109,105.2383,104.82047,106.78123,106.91725,106.82589,103.38791,103.88755,103.16309,101.52202,103.298,104.19205,102.22549,101.10714,102.34765,100.65525,100.92127,100.9005
,,,,688.58731,103.15519,103.93283,103.87894,106.78694,106.92314,106.80855,110.05905,109.74433,109.28321,105.58572,105.67269,105.49482,105.24007,105.22528,105.22497,105.28826,105.18038,104.76063,106.57675,106.6805,106.54858,103.46623,104.0491,103.30036,101.79805,103.35594,103.97362,102.15468,101.09185,102.47007,100.84749,101.08795,100.71555
,,,,690.51613,102.89051,103.54996,103.56779,106.38442,106.56761,106.26067,109.43733,109.10873,108.56757,105.13731,105.33341,105.01223,104.75108,104.64109,104.57545,104.80809,104.6034,104.24572,106.12711,106.19038,106.20069,103.21778,103.77937,103.03973,101.76415,102.94136,103.49588,101.94179,100.94627,102.13441,100.64499,100.76677,100.43643
,,,,692.44494,102.70774,103.10943,103.33622,106.16169,106.11747,105.89255,108.89539,108.69514,107.87192,104.74031,104.9251,104.72957,104.32561,104.05655,103.99255,104.1608,104.023,103.91241,105.75093,106.00469,105.87768,103.12961,103.24003,102.86279,101.67248,102.62421,103.30375,101.85572,101.15475,101.91111,100.44982,100.47695,100.43302
,,,,694.37376,102.55274,102.81956,102.96057,105.77337,105.63393,105.68388,108.38825,108.15015,107.28729,104.41093,104.43921,104.52732,103.86534,103.62237,103.6235,103.5785,103.55089,103.66053,105.37285,105.78395,105.52467,102.88655,102.84903,102.91541,101.46527,102.43623,103.19207,101.66856,101.14261,101.77463,100.36431,100.16789,100.49299
,,,,696.30258,102.15019,102.71305,102.6882,105.21315,105.21804,105.26247,107.78333,107.45796,106.89257,104.11379,103.83776,104.09268,103.48009,103.21427,103.20556,103.17595,103.21896,103.14618,105.1271,105.40257,105.10542,102.74512,102.61669,102.68472,101.23182,102.44311,102.86808,101.5358,100.90154,101.47721,100.15011,100.01011,100.36478
,,,,698.23139,101.84533,102.60294,102.49957,104.6652,105.05347,104.82524,107.31732,107.00972,106.50439,103.83302,103.51663,103.56962,103.16171,103.05791,102.88793,102.95152,102.903,102.80671,104.81162,104.99438,104.81118,102.65368,102.53891,102.28682,101.28307,102.37153,102.49395,101.4582,101.03209,101.20588,100.05889,99.97507,100.19701
,,,,700.16021,102.00192,102.60446,102.54307,104.62514,104.87788,104.55644,106.94928,106.89572,106.27168,103.75428,103.51037,103.40028,103.05856,103.10384,102.928,102.89591,102.74518,102.81844,104.62127,104.66901,104.77421,102.53776,102.49753,102.27672,101.51519,102.29913,102.62815,101.39157,101.22484,101.28149,100.14658,100.12781,100.04838
,,,,702.08902,101.96603,102.39766,102.44731,104.57494,104.44371,104.28661,106.41579,106.56977,106.09183,103.56786,103.39667,103.24496,102.92674,102.79669,102.70691,102.63,102.48924,102.6569,104.33933,104.23216,104.52524,102.22463,102.15539,102.36519,101.56183,102.22014,102.57724,101.24653,100.92248,101.18492,100.15473,100.10446,100.01271
,,,,704.01784,101.75532,102.28582,102.28187,104.4031,104.11463,104.19278,106.17368,106.17839,105.84289,103.4022,103.17988,103.06161,102.79231,102.50917,102.39613,102.36083,102.20602,102.28915,104.13942,104.04609,104.29587,102.15185,102.07856,102.35757,101.53701,102.09024,102.27939,101.25581,100.74888,100.98443,100.10032,99.96796,100.15512
,,,,705.94666,101.65497,102.2878,102.01541,104.24974,103.97947,104.08813,106.00537,105.94049,105.38763,103.23324,102.95251,102.98187,102.71863,102.46548,102.03936,102.22062,101.992,101.90435,104.07209,104.02882,104.00314,102.27383,101.98759,102.18622,101.43649,101.85221,102.06023,101.08236,100.76575,100.76692,100.12313,99.92887,100.11923
